MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Celeus-elegans,12.0,3.0,9.0,0.5714,0.8,0.6667
Celeus-flavus,33.0,24.0,18.0,0.6471,0.5789,0.6111
Celeus-torquatus,48.0,6.0,93.0,0.3404,0.8889,0.4923
Ceratopipra-chloromeros,24.0,9.0,21.0,0.5333,0.7273,0.6154
Ceratopipra-rubrocapilla,36.0,36.0,9.0,0.8,0.5,0.6154
Cercomacra-manu,75.0,57.0,36.0,0.6757,0.5682,0.6173
Cercomacroides-fuscicauda,48.0,3.0,6.0,0.8889,0.9412,0.9143
Cercomacroides-nigrescens,57.0,0.0,24.0,0.7037,1.0,0.8261
Cercomacroides-serva,105.0,27.0,9.0,0.9211,0.7955,0.8537
Certhiaxis-cinnamomeus,54.0,21.0,12.0,0.8182,0.72,0.766
Chaetura-brachyura,48.0,21.0,6.0,0.8889,0.6957,0.7805
Chaetura-cinereiventris,27.0,3.0,0.0,1.0,0.9,0.9474
Chaetura-pelagica,195.0,0.0,21.0,0.9028,1.0,0.9489
Chaetura-viridipennis,3.0,0.0,0.0,1.0,1.0,1.0
Chamaepetes-goudotii,54.0,72.0,3.0,0.9474,0.4286,0.5902
Chamaeza-campanisona,42.0,30.0,18.0,0.7,0.5833,0.6364
Chamaeza-nobilis,6.0,39.0,0.0,1.0,0.1333,0.2353
Charadrius-collaris,30.0,3.0,0.0,1.0,0.9091,0.9524
Chelidoptera-tenebrosa,36.0,6.0,3.0,0.9231,0.8571,0.8889
Chiroxiphia-boliviana,81.0,12.0,9.0,0.9,0.871,0.8852
Chloroceryle-aenea,36.0,21.0,6.0,0.8571,0.6316,0.7273
Chloroceryle-amazona,51.0,18.0,6.0,0.8947,0.7391,0.8095
Chloroceryle-americana,21.0,12.0,6.0,0.7778,0.6364,0.7
Chlorochrysa-calliparaea,9.0,30.0,0.0,1.0,0.2308,0.375
Chlorophanes-spiza,24.0,12.0,0.0,1.0,0.6667,0.8
Chloropipo-unicolor,27.0,27.0,9.0,0.75,0.5,0.6
Chlorospingus-canigularis,18.0,75.0,0.0,1.0,0.1935,0.3243
Chlorospingus-flavopectus,69.0,0.0,0.0,1.0,1.0,1.0
